word,level,sentence,word_mean
school,a1,School? | Schools.,a place where children go to be educated :
science,a1,Science.,"( knowledge from) the careful study of the structure and behaviour of the physical world , especially by watching , measuring , and doing experiments , and the development of theories to describe the results of these activities :"
scientist,a1,We're scientists. | I'm a scientist.,an expert who studies or works in one of the sciences :
score,a2,What's the score?,"to win or get a point , goal , etc. in a competition , sport , or game :"
scream,b2,Don't scream. | Screams,"to cry or say something loudly and usually on a high note , especially because of strong emotions such as fear , excitement , or anger :"
screen,a2,On screen.,"a flat surface in a cinema , on a television , or as part of a computer , on which pictures or words are shown :"
script,b1,I read the script.,"the words of a film , play , broadcast , or speech :"
sea,a1,The sea. | And the treacherous seas of Cathay,"the salty water that covers a large part of the surface of the earth , or a large area of salty water , smaller than an ocean , that is partly or completely surrounded by land :"
season,a2,Season 2 | Seasons of love,"one of the four periods of the year ; spring , summer , autumn , or winter"
seat,a2,Take your seats. | Have a seat.,"a piece of furniture or part of a train , plane , etc. that has been designed for someone to sit on:"
secretary,a2,Mr. Secretary.,"someone who works in an office , writing letters , making phone calls , and arranging meetings for a person or for an organization :"
section,a1,Which section?,one of the parts that something is divided into:
sector,b2,Enemy activity in his old sector dropped off to nothing.,one of the areas into which the economic activity of a country is divided :
security,b1,Security.,"protection of a person , building , organization , or country against threats such as crime or attacks by foreign countries :"
seed,b1,We find the seed. | Seeds?,"a small , round or oval object produced by a plant and from which, when it is planted , a new plant can grow :"
selection,b2,Natural selection.,the act of choosing someone or something:
self,b2,It was self-defense.,"the set of someone's characteristics , such as personality and ability , that are not physical and make that person different from other people :"
sentence,a1,Sentence?,"a group of words, usually containing a verb , that expresses a thought in the form of a statement , question , instruction , or exclamation and starts with a capital letter when written:"
September,a1,September.,"the ninth month of the year , after August and before October :"
sequence,b2,Phineas and Ferb are making a title sequence!,"a series of related things or events , or the order in which they follow each other:"
servant,b1,"Your servant, sir. | Servants of Sauron.","a person who is employed in another person's house , doing jobs such as cooking and cleaning , especially in the past"
service,a2,At your service.,"a government system or private organization that is responsible for a particular type of activity , or for providing a particular thing that people need:"
series,a2,World Series.,"a number of similar or related events or things, one following another:"
session,b2,This court is now in session. | Ida Sessions.,a formal meeting or series of meetings of an organization such as a parliament or a court of law :
set,b1,All set. | Sets its will against us.,to put something in a particular place or position : | abbreviation for Stock Exchange Trading Service : the London Stock Exchange’s system for buying and selling shares electronically :
setting,b1,The sun is setting.,the position of a house or other building :
sex,b1,Sex.,"the physical state of being either male , female , or intersex:"
shade,b2,As for Andy he spent that break hunkered in the shade a strange little smile on his face watching us drink his beer.,slight darkness caused by something blocking the direct light from the sun :
shadow,b2,Shadows. | Shadow!,"an area of darkness in which people and things cannot be seen : | an area of darkness , caused by light being blocked by something:"
shake,b1,Shake hands.,"to move backwards and forwards or up and down in quick , short movements , or to make something or someone do this:"
shame,b2,What a shame.,"If something is described as a shame, it is disappointing or not satisfactory :"
shape,a2,He's in bad shape.,the particular physical form or appearance of something:
share,b1,Share?,to have or use something at the same time as someone else :
sheep,a1,Sheep.,"a farm animal with thick wool that eats grass and is kept for its wool , skin , and meat :"
sheet,a2,You're white as a sheet. | Money instead of sheets.,a large piece of thin cloth used on a bed for sleeping on or under: | a large quantity of rain :
shelf,b1,Top shelf.,"a long , flat board fixed horizontally, usually against a wall or inside a cupboard so that objects can be stored on it:"
shell,b1,Shell. | Shells.,"the hard outer covering of something, especially nuts , eggs , and some animals :"
shelter,b2,Britain supports you and provides you shelter.,"(a building designed to give) protection from bad weather , danger , or attack :"
shift,b1,It is highly recommended that you and your partner take alternating shifts. | Shift.,"to ( cause something or someone to) move or change from one position or direction to another, especially slightly :"
ship,a2,Back to the ships! | Abandon ship!,"a large boat for travelling on water , especially across the sea :"
shirt,a1,"Take off your shirt. | If they over-starch my shirts again, they'll hear from me.","a piece of clothing worn , especially by men, on the upper part of the body , made of light cloth like cotton and usually having a collar and buttons at the front :"
shock,b2,What a shock.,"(the emotional or physical reaction to) a sudden , unexpected , and usually unpleasant event or experience :"
shoe,a1,My shoe!,"one of a pair of coverings for your feet , usually made of a strong material such as leather , with a thick leather or plastic sole (= base ) and usually a heel :"
shooting,b2,Stop shooting!,the act of shooting bullets from guns or other weapons :
shop,a1,I've been to all the firms and shops... | Shop.,a shop where a barber works | a place where you can buy goods or services :
shopping,a1,Shopping.,the activity of buying things from shops :
shot,b2,Nice shot. | Shots fired.,past simple and past participle of shoot
shoulder,a2,"Shoulder arms! | In a crowded city, as I bump shoulders, I'm all alone.",one of the two parts of the body at each side of the neck that join the arms to the rest of the body :
shout,a2,Don't shout.,"to speak with a very loud voice , often as loud as possible , usually when you want to make yourself heard in noisy situations , or when the person you are talking to is a long way away or cannot hear very well:"
show,a1,It shows. | I'll show you.,to make it possible for something to be seen :
shower,a1,Hit the showers. | I'm gonna take a shower.,a device that releases drops of water through a lot of very small holes and that you stand under to wash your whole body :
side,a2,I'm on your side.,"a flat outer surface of an object , especially one that is not the top , the bottom , the front , or the back:"
sight,b1,You're missing the sights. | Get out of my sight!,"places of interest , especially to visitors : | the ability to see :"
sign,a2,Sign here. | Life signs?,"to write your name , usually on a written or printed document , to show that you agree with its contents or have written or created it yourself:"
signal,b1,Multiple signals. | Wait for my signal.,"an action , movement , or sound that gives information , a message , a warning , or an order :"
silence,b2,Silence!,a period without any sound ; complete quiet :
silk,b2,Silk.,"a delicate , soft type of cloth made from a thread produced by silkworms , or the thread itself:"
silver,a2,Silver.,"a chemical element that is a valuable shiny , white metal , used for making cutlery (= knives , spoons , etc.) , jewellery , coins , and decorative objects :"
singer,a1,I'm a singer.,a person who sings :
singing,a2,Singing,"the activity of making musical sounds with the voice , usually a tune with words:"
sir,a2,"Yes, sir.","used as a formal and polite way of speaking to a man, especially one who you are providing a service to or who is in a position of authority :"
sister,a1,Sisters? | Sister!,a girl or woman who has the same parents as another person :
site,a2,This is my site.,"a place where something is, was, or will be built , or where something happened , is happening , or will happen :"
situation,a1,I found the appropriate response to these situations a long time ago. | What's the situation?,the set of things that are happening and the conditions that exist at a particular time and place :
size,a2,What size?,how large or small something or someone is:
skiing,a2,Skiing?,the activity or sport of moving on skis :
skill,a1,"You have some skill with a blade. | And although his airbending skills are great, he has a lot to learn before he's ready to save anyone.","an ability to do an activity or job well, especially because you have practised it:"
skin,a2,Skin.,"the natural outer layer that covers a person , animal , fruit , etc.:"
skirt,a1,Skirt?,"a piece of clothing that hangs from the waist and covers some or all of the legs , usually worn by women and girls :"
sky,a2,And the skies are not cloudy all day | I will touch the sky,"the sky in a particular state or place : | the area above the earth , in which clouds , the sun , etc. can be seen :"
slave,b2,Slave!,a person who is legally owned by someone else and has to work for that person :
sleep,a2,He sleeps. | Go to sleep.,the resting state in which the body is not active and the mind is unconscious :
slice,b1,"After that, I'm going to have a slice of pie.","a flat , often thin , piece of food that has been cut from a larger piece :"
slide,b2,Slide.,to ( cause to) move easily and without interruption over a surface :
smell,a2,Smells good. | What's that smell?,to have a particular quality that others can notice with their noses :
smile,a2,Smile.,"a happy or friendly expression on the face in which the ends of the mouth curve up slightly , often with the lips moving apart so that the teeth can be seen :"
smoke,a2,I don't smoke.,"the grey , black , or white mixture of gas and very small pieces of carbon that is produced when something burns :"
smoking,a2,No smoking.,"the action of smoking a cigarette , pipe , etc., or the activity of doing this regularly :"
snake,a1,Snake!,a reptile with a long body and no legs :
soap,a2,Soap.,a substance used for washing the body or other things:
soccer,a2,Soccer.,"a game played between two teams of eleven people , where each team tries to win by kicking a ball into the other team's goal"
society,a2,Society!,"a large group of people who live together in an organized way, making decisions about how to do things and sharing the work that needs to be done. All the people in a country , or in several similar countries , can be referred to as a society:"
sock,a2,Sock! | Socks.,a piece of clothing made from soft material that covers your foot and the lower part of your leg :
software,b1,Think of them as hardware to your software.,the instructions that control what a computer does; computer programs :
soil,b1,Buried under the soil of Russia.,the material on the surface of the ground in which plants grow :
soldier,a2,Soldiers! | Soldier!,"a person who is in an army and wears its uniform , especially someone who fights when there is a war :"
solid,b1,Solid.,"hard or firm , keeping a clear shape :"
solution,a2,It's the only solution.,the answer to a problem :
son,a1,Sons of bitches! | Son of a bitch!,your male child :
song,a1,I love this song. | I wonder if we'll ever be put into songs or tales.,a usually short piece of music with words that are sung :
sort,a2,Sort of. | All sorts of things.,a group of things that are of the same type or that share similar qualities :
soul,b2,Four brave souls. | Not a soul.,"the spiritual part of a person that some people believe continues to exist in some form after their body has died , or the part of a person that is not physical and experiences deep feelings and emotions :"
sound,a1,Sounds good. | How does that sound?,something that you can hear or that can be heard :
soup,a1,Soup.,"a usually hot , liquid food made from vegetables , meat , or fish :"
source,a2,Source?,"the place something comes from or starts at, or the cause of something:"
space,a1,"Space, the final frontier.",an empty area that is available to be used:
speaker,a2,Put it on speaker.,a person who gives a speech at a public event :
species,b2,What species?,a set of animals or plants in which the members have similar characteristics to each other and can breed with each other:
speech,a2,No speeches. | Speech!,"the ability to talk , the activity of talking , or a piece of spoken language :"
speed,a2,Speed.,how fast something moves :
spelling,a1,It was an easy mistake to make because there was only a subtle difference in the spelling.,"forming words with the correct letters in the correct order , or the ability to do this:"
spending,b1,We're spending too much time together here.,"the money that is used for a particular purpose , especially by a government or organization :"
spider,a2,Spiders. | Spider!,a small creature with eight thin legs that catches insects in a web (= a net made from sticky threads ) :
spirit,b1,Spirits? | That's the spirit.,"the way a person is feeling , or that people in general are feeling : | a particular way of thinking , feeling , or behaving , especially a way that is typical of a particular group of people , an activity , a time , or a place :"
split,b2,Let's split up.,"to ( cause to) divide into two or more parts , especially along a particular line :"
sponsor,b2,And now a word from our sponsor.,(of a business or other organization ) to pay for someone to do something or for something to happen :
spoon,a2,Spoon.,"an object consisting of a round, hollow part and a handle , used for mixing , serving , and eating food"
sport,a1,Be a sport. | Sports.,"a game , competition , or activity needing physical effort and skill that is played or done according to rules , for enjoyment and/or as a job : | relating to sport :"
spot,b1,Spots. | You missed a spot.,"a small , usually round area of colour that is differently coloured or lighter or darker than the surface around it:"
spread,b2,Spread out!,"to cover or reach a wider or increasing area , or to make something do this:"
stadium,b1,It's a stadium.,"a large closed area of land with rows of seats around the sides and often with no roof , used for sports events and musical performances :"
staff,b1,"Thy rod and thy staff, they comfort me.",the group of people who work for an organization :
stage,a2,Get off the stage!,a part of an activity or a period of development :
stair,a2,Up the stairs.,a set of steps that lead from one level of a building to another:
stamp,a2,"So you go on and stamp your forms, sonny, and stop wasting my time. | Stamps.","a small piece of paper with a picture or pattern on it that is stuck onto a letter or package before it is posted , to show that the cost of sending it has been paid :"
stand,b2,Stand by. | Stands With A Fist.,"to be in a vertical state or to put into a vertical state , especially (of a person or animal ) by making the legs straight : | a stand :"
start,a2,Don't start. | Engine Starts,to begin doing something:
statement,a1,"You're gonna be looking at my people going through their bank statements, their phone calls and medical records. | How about a statement?","something that someone says or writes officially , or an action done to express an opinion :"
station,a1,"For his adventures, just be sure and stay tuned to this station. | Battle stations.",a building and the surrounding area where buses or trains stop for people to get on or off:
status,b2,What's your status?,"an accepted or official position , especially in a social group :"
statue,b1,Statue?,"an object made from a hard material , especially stone or metal , to look like a person or animal :"
stay,a2,Stay here. | He stays.,to not move away from or leave a place or situation :
steel,b2,Steel.,"a strong metal that is a mixture of iron and carbon , used for making things that need a strong structure , especially vehicles and buildings ' or a particular type of this metal :"
step,a2,Baby steps. | Watch your step.,"another word for stepladder : | to move by lifting your foot and putting it down in a different place , or to put your foot on or in something:"
stick,b1,Stick around. | Sticks.,a thin piece of wood or other material : | an area in the countryside that is far from a town or city :
stock,b2,"Stock. | Stocks, securities, tax-free municipals.","a supply of something for use or sale : | in the past, a wooden frame that was fixed around someone's feet , hands , and sometimes head , so that they were forced to sit or stand for a long time in public as a punishment :"
stomach,a2,My stomach hurts.,an organ in the body where food is digested :
stone,a2,Stone.,"the hard, solid substance found in the ground that is often used for building , or a piece of this:"
stop,a1,Stop! | Stops,to finish doing something that you were doing:
store,a2,I'm going to the store.,a place where you can buy goods :
storm,a2,Storm. | We hear from the news department only a few flights are landing at Stapleton Airport and with storms like this I guess the entire airport will be closed within the hour.,"an extreme weather condition with very strong wind , heavy rain , and often thunder and lightning :"
story,a1,It's a long story. | These are their stories.,"a description , either true or imagined , of a connected series of events :"
stranger,b1,"Hey, stranger. | Strangers.",someone you do not know :
strategy,a2,Strategy.,"a detailed plan for achieving success in situations such as war , politics , business , industry , or sport , or the skill of planning for such situations :"
stream,b2,Please do NOT hardsub andor stream this episode using our English subtitles.,"water that flows naturally along a fixed route formed by a channel cut into rock or ground , usually at ground level :"
street,a1,Across the street. | Save our streets!,a road in a city or town that has buildings that are usually close together along one or both sides :
strength,b1,Save your strength.,the ability to do things that need a lot of physical or mental effort :
stretch,b2,Stretch.,"to cause something to reach , often as far as possible , in a particular direction :"
strike,b2,Strike!,"to refuse to continue working because of an argument with an employer about working conditions , pay levels , or job losses :"
string,b1,No strings attached. | String him up!,"the group of instruments that have strings and are played with a bow or with the fingers , or the players in a musical group who play these instruments : | (a piece of) strong , thin rope made by twisting very thin threads together, used for fastening and tying things:"
structure,a2,Structure seems intact.,"the way in which the parts of a system or object are arranged or organized , or a system arranged in this way:"
struggle,b2,Don't struggle.,to experience difficulty and make a very great effort in order to do something:
student,a1,"Attention, students. | I'm a student.",a person who is learning at a college or university :
studio,b1,Cheers is filmed before a live studio audience.,a room with special equipment where television or radio programmes or music recordings are made:
study,a1,Ancient studies. | I have to study.,"studying or work involving studying : | to learn about a subject , especially in an educational course or by reading books :"
stuff,b1,Good stuff.,"a substance , especially when you do not know or say exactly what it is:"
style,a1,I like your style.,"a way of doing something, especially one that is typical of a person , group of people , place , or period :"
substance,b1,"You're moving into a land of both shadow and substance, of things and ideas.",material with particular physical characteristics :
success,a1,Success.,the achieving of the results wanted or hoped for:
sugar,a1,Sugar?,"a sweet substance especially from the plants sugar cane and sugar beet , used to make food and drinks sweet :"
suggestion,a2,Any suggestions? | I have a suggestion.,"an idea , plan , or action that is suggested or the act of suggesting it:"
suit,a2,It suits you. | Suit yourself.,a jacket and trousers or a jacket and skirt that are made from the same material :
sum,b2,That's a tidy sum.,an amount of money :
summer,a1,Summers. | Summer.,"the season of the year between spring and autumn when the weather is warmest , lasting from June to September north of the equator and from December to March south of the equator :"
sun,a1,The sun.,the star that provides light and heat for the earth and around which the earth moves :
Sunday,a1,Sunday. | I sleep in Sundays.,"the day of the week after Saturday and before Monday , when most people in Western countries do not go to work :"
supermarket,a1,Supermarket.,a large shop which sells most types of food and other goods needed in the home
supply,b1,Supply and demand. | Supplies.,"to provide something that is wanted or needed , often in large quantities and over a long period of time : | food or other things necessary for living :"
support,a2,Thanks for your support.,"to agree with and give encouragement to someone or something because you want him, her, or it to succeed :"
surface,b1,Surface.,the outer or top part or layer of something:
surgery,b2,Surgery?,the treatment of injuries or diseases in people or animals by cutting open the body and removing or repairing the damaged part :
survey,a2,"Hub, this is Survey One.","an examination of opinions , behaviour , etc., made by asking people questions :"
suspect,b2,Any suspects? | Am I a suspect?,to think or believe something to be true or probable :
sweater,a1,Nice sweater.,"a piece of clothing , typically with long sleeves and made from wool , that is worn on the upper part of the body :"
sweet,a2,Sweets. | Sweet.,"sweet food , such as candy or cake : | ( especially of food or drink ) having a taste similar to that of sugar ; not bitter or salty :"
swim,b1,I can't swim!,to move through water by moving the body or parts of the body :
swimming,a1,Swimming.,the activity or sport of swimming:
switch,b2,Switch.,"a small device , usually pushed up or down with your finger , that controls and turns on or off an electric current :"
symbol,a2,It's a symbol. | Those analysis droids only focus on symbols.,"a sign , shape , or object that is used to represent something else :"
sympathy,b2,Sympathy?,(an expression of) understanding and care for someone else's suffering :
symptom,b1,Symptoms?,any feeling of illness or physical or mental change that is caused by a particular disease :
system,a2,"All systems go. | In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders.",a set of connected things or devices that operate together:
table,a1,On the table.,"a flat surface , usually supported by four legs , at which people sit to eat or work , or on which ojects are placed :"
tail,b1,Tail. | Tails.,"a part of an animal's body , sticking out from the base of the back, or something similar in shape or position : | the side of a coin that does not have a picture of someone's head on it:"
tale,b2,Tale as old as time,"a story , especially one that might be invented or difficult to believe :"
talent,b1,"Talent. | She designs naughty lingerie, among her many talents.","a natural skill or ability to be good at something, especially without being taught :"
talk,a2,Money talks. | Talk to me.,"serious and formal discussions on an important subject , usually intended to produce decisions or agreements : | to say words aloud ; to speak to someone:"
tank,b2,Tank. | Tanks!,a container that holds liquid or gas :
tape,b1,What tape?,"thin plastic in a long , narrow strip with a magnetic covering that allows sounds or sounds and pictures to be recorded and played again, especially one on which sound is recorded :"
target,a2,Target acquired. | Multiple targets.,"an object shot at during shooting practice , often a circle with a pattern of rings , or any object or place at which bullets , bombs , etc. are aimed :"
task,a2,This task was appointed to you.,"a piece of work to be done, especially one done regularly , unwillingly , or with difficulty :"
taste,a2,Taste it.,"the flavour of something, or the ability of a person or animal to recognize different flavours :"
tax,b1,Taxes. | Tax-free.,(an amount of) money paid to the government that is based on your income or the cost of goods or services you have bought :
taxi,a1,Taxi!,a car with a driver who you pay to take you somewhere :
tea,a1,Tea?,"(a drink made by pouring hot water onto) dried and cut leaves and sometimes flowers , especially the leaves of the tea plant :"
teacher,a1,Teacher! | Teachers.,someone whose job is to teach in a school or college
teaching,a2,Teaching.,the job of being a teacher :
team,a1,Two teams. | We're a team.,a number of people or animals who do something together as a group :
tear,b2,No tears. | Tear it up.,"to pull or be pulled apart , or to pull pieces off:"
technique,b1,Technique.,a way of doing an activity that needs skill :
technology,a2,We have the technology.,"(the study and knowledge of) the practical , especially industrial , use of scientific discoveries :"
teenager,a1,Teenagers. | He's a teenager.,a young person between 13 and 19 years old :
telephone,a1,Telephone.,a phone
television,a1,Television.,"a device shaped like a box with a screen that receives electrical signals and changes them into moving images and sound , or the method or business of sending images and sound by electrical signals :"
temperature,a2,Temperature?,the measured amount of heat in a place or in the body :
tennis,a1,Tennis.,a game played between two or four people on a special playing area that involves hitting a small ball across a central net using a racket
tent,b1,Tent.,"a shelter made of canvas or a similar material and supported by poles and ropes , that you can fold up and carry with you"
term,a2,Those are my terms. | Long term.,"the conditions that control an agreement , arrangement , or activity : | the fixed period of time that something lasts for:"
test,a1,What kind of tests? | Test.,"a way of discovering , by questions or practical activities , what someone knows , or what someone or something can do or is like:"
text,a1,unrecognized text,"the written words in a book , magazine , etc., not the pictures :"
theatre,a1,Theatre.,"a building , room , or outside structure with rows of seats , each row usually higher than the one in front , from which people can watch a performance or other activity :"
theme,b1,âªâª theme,"the main subject of a talk , book , film , etc.:"
theory,b1,In theory. | Any theories?,"a formal statement of the rules on which a subject of study is based or of ideas that are suggested to explain a fact or event or, more generally , an opinion or explanation :"
therapy,b2,Therapy.,"a treatment that helps someone feel better , grow stronger , etc., especially after an illness :"
thief,a2,Thief!,a person who steals :
thing,a1,What things? | Sure thing.,used to refer in an approximate way to an object or to avoid naming it:
thinking,a2,What are you thinking?,the activity of using your mind to consider something:
thought,a2,I thought so. | Any thoughts?,past simple and past participle of think
threat,b2,Is that a threat? | Threats?,"a suggestion that something unpleasant or violent will happen , especially if a particular action or order is not followed :"
throat,b1,Clears Throat | Throats slashed.,"the front of the neck , or the space inside the neck down which food and air can go:"
Thursday,a1,Thursday.,the day of the week after Wednesday and before Friday :
ticket,a1,"That's the ticket. | Tickets, please.","a small piece of paper or card given to someone, usually to show that they have paid for an event , journey , or activity :"
tie,a2,Tie him up.,"to fasten together two ends of a piece of string or other long , thin material , or to ( cause to) hold together with a long , thin piece of string , material , etc.:"
tin,b1,Tin Tin.,"a chemical element that is a silver-coloured metal , often combined with other metals or used to cover and protect other metals"
tip,a2,Tips. | Thanks for the tip.,abbreviation for Treasury Inflation Protected Securities: a type of savings bond from the US Treasury that protects the person who owns it from the effects of inflation | to ( cause to) move so that one side is higher than another side :
title,a1,What's the title?,"the name of a film , book , painting , piece of music , etc.:"
toe,b1,Wiggle your big toe.,any of the five separate parts at the end of the foot :
toilet,a1,Where are the toilets? | Where's the toilet?,"a room or small building in a public place in which there are several toilets: | a bowl-shaped device with a seat that you sit on or stand near when emptying the body of urine or solid waste , or another device used for this purpose :"
tomato,a1,Tomato. | Tomatoes.,"a round, red fruit with a lot of seeds , eaten cooked or uncooked as a vegetable , for example in salads or sauces : | plural of tomato"
tone,b2,"At the tone, leave your name and message.","a quality in the voice that expresses the speaker's feelings or thoughts , often towards the person being spoken to:"
tongue,b1,Cat got your tongue?,"the large , soft piece of flesh in the mouth that you can move , and is used for tasting , speaking , etc.:"
tool,a2,Tool Time! | Tools.,a piece of equipment that you use with your hands to make or repair something:
tooth,a1,My tooth!,"one of the hard, white objects in the mouth that are used for biting and chewing (= crushing food ) :"
topic,a1,New topic.,"a subject that is discussed , written about, or studied :"
total,b1,Total.,the amount you get when several smaller amounts are added together:
touch,b1,Don't touch me! | Nobody touches him.,to put your hand or another part of your body lightly onto and off something or someone:
tour,a2,I'll give you a tour.,"a visit to a place or area , especially one during which you look around the place or area and learn about it:"
tourist,a1,I'm a tourist. | Tourists.,"someone who visits a place for pleasure and interest , usually while on holiday :"
towel,a2,Towel. | Towels.,a piece of cloth or paper used for drying someone or something that is wet :
tower,a2,They're going to the harbor beyond the White Towers. | Save the clock tower.,"a tall , narrow structure , often square or circular , that either forms part of a building or stands alone :"
town,a1,"Get out of town. | And as in other towns up and down the coast,","a place where people live and work , containing many houses , shops , places of work , places of entertainment , etc., and usually larger than a village but smaller than a city :"
trade,b1,Trade.,"the activity of buying and selling , or exchanging , goods and/or services between people or countries :"
tradition,a2,Traditions. | It's tradition.,"a belief , principle , or way of acting that people in a particular society or group have continued to follow for a long time , or all of these beliefs , etc. in a particular society or group :"
traffic,a1,Traffic.,"the number of vehicles moving along roads , or the amount of aircraft , trains , or ships moving along a route :"
train,a1,Trains. | Stop the train!,a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods :
trainer,a2,His trainer?,"a person who teaches skills to people or animals and prepares them for a job , activity , or sport :"
training,a2,Training?,the process of learning the skills you need to do a particular job or activity :
transfer,b2,Transfer?,"to move someone or something from one place , vehicle , person , or group to another:"
translation,b1,Translation?,"something that is translated , or the process of translating something, from one language to another:"
transport,a2,Transport.,the movement of people or goods from one place to another:
travel,a1,News travels fast. | Travel.,"journeys : | to make a journey , usually over a long distance :"
treatment,b1,Treatment?,the way you deal with or behave towards someone or something:
tree,a1,Tree.,a tall plant that has a wooden trunk and branches that grow from its upper part :
trial,b2,Trial? | Commencing human trials.,"the hearing of statements and showing of objects , etc. in a law court to judge if a person is guilty of a crime or to decide a case or a legal matter :"
trick,b1,No tricks. | It's a trick.,"an action that is intended to deceive , either as a way of cheating someone, or as a joke or form of entertainment :"
trip,a1,Have a good trip. | You'll fit it all in if you have to make two trips.,"a journey in which you go somewhere , usually for a short time , and come back again:"
trouble,a2,Trouble?,problems or difficulties :
trousers,a1,Trousers.,"a piece of clothing that covers the lower part of the body from the waist to the feet , consisting of two cylinder-shaped parts , one for each leg , that are joined at the top :"
truck,a2,Get in the truck. | Trucks.,a large road vehicle that is used for transporting large amounts of goods :
trust,b2,He trusts me. | Trust me.,"to believe that someone is good and honest and will not harm you, or that something is safe and reliable :"
truth,b1,It's the truth.,the quality of being true :
try,b2,It tries to chokes us! | I'll try.,to attempt to do something:
tube,b1,Tube.,"a long cylinder made from plastic , metal , rubber , or glass , especially used for moving or containing liquids or gases :"
Tuesday,a1,Tuesday.,the day of the week after Monday and before Wednesday :
tune,b2,Catchy tune.,"a series of musical notes , especially one that is pleasant and easy to remember :"
tunnel,b2,"Dig a tunnel, dig, dig a tunnel | The Ring came to the creature Gollum who took it deep into the tunnels of the Misty Mountains.","a long passage under or through the ground , especially one made by people :"
turn,a1,Whatever turns you on. | Turn around.,to ( cause to) move in a circle around a fixed point or line :
TV,a1,TV.,abbreviation for television :
type,a1,You're not my type.,a particular group of people or things that share similar characteristics and form a smaller division of a larger set:
umbrella,a1,My umbrella!,"a device for protection against the rain , consisting of a stick with a folding frame covered in material at one end and usually a handle at the other, or a similar , often larger , device used for protection against the sun :"
uncle,a1,Uncle!,"the brother of someone's mother or father , or the husband of someone's aunt or uncle:"
understanding,a2,Thanks for understanding.,"knowledge about a subject , situation , etc. or about how something works :"
underwear,b1,Underwear.,"clothes worn next to the skin , under other clothes"
uniform,a2,Uniforms. | Where's your uniform?,a particular set of clothes that has to be worn by the members of the same organization or group of people :
union,b1,Union!,the act or the state of being joined together:
unit,a2,"All units. | In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit.",a single thing or a separate part of something larger :
universe,b2,We're the princes of the universe,"everything that exists , especially all physical matter , including all the stars , planets , galaxies , etc. in space :"
university,a1,University.,a place where people study for an undergraduate (= first) or postgraduate (= higher level ) degree :
update,b1,Thanks for the update.,to make something more modern or suitable for use now by adding new information or changing its design :
use,a2,It's no use.,"to put something such as a tool , skill , or building to a particular purpose :"
vacation,a1,I'm on vacation.,"a time when someone does not go to work or school but is free to do what they want , such as travel or relax :"
valley,a2,"Yea, though I walk through the valley of the shadow of death,","an area of low land between hills or mountains , often with a river running through it:"
value,b1,One of the halflings carries something of great value.,the amount of money that can be received for something:
van,a2,Van!,"a medium-sized road vehicle , used especially for carrying goods , that often has no windows in the sides at the back:"
variety,a2,"Because of what they had been through, they were prone to a variety of problems.",the characteristic of often changing and being different:
vegetable,a1,"Animal, vegetable or mineral?","a plant , root , seed , or pod that is used as food , especially in dishes that are not sweet :"
vehicle,a2,Stop the vehicle.,"a machine , usually with wheels and an engine , used for transporting people or goods , especially on land :"
version,b1,Scary version?,a particular form of something that is slightly different from other forms of the same thing:
victim,b1,"In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. | The victim.","someone or something that has been hurt , damaged , or killed or has suffered , either because of the actions of someone or something else , or because of illness or chance :"
victory,b2,Victory!,"an occasion when you win a game , competition , election , war , etc. or the fact that you have won :"
video,a1,Video. | Videos.,"a recording of moving pictures and sound , especially as a digital file , DVD , etc.:"
view,a2,Nice view. | Great views up here.,"an opinion , belief , or idea , or a way of thinking about something:"
viewer,b1,"Sensitive viewers, be aware.","a person who watches something, especially television :"
village,a1,In the village.,"a group of houses and other buildings that is smaller than a town , usually in the countryside :"
violence,b2,Is violence in movies and sex on TV,actions that are intended or likely to hurt people or cause damage :
virus,a2,A virus?,"an extremely small piece of organic material that causes disease in humans , animals , and plants :"
vision,b2,I had a vision. | That visions are seldom all they seem,an idea or mental image of something:
visit,a1,Visit? | I enjoy our visits.,"to go to a place in order to look at it, or to a person in order to spend time with them:"
visitor,a1,No visitors. | You have a visitor.,someone who visits a person or place :
vitamin,b2,Vitamins.,any of a group of natural substances that are necessary in small amounts for the growth and good health of the body :
voice,a2,Keep your voice down.,the sounds that are made when people speak or sing :
volume,b2,Volume.,the amount of space that is contained within an object or solid shape :
volunteer,b1,Any volunteers? | I need a volunteer.,"a person who does something, especially helping other people , willingly and without being forced or paid to do it:"
vote,b1,Let's vote.,"to express your choice or opinion , especially by officially writing a mark on a paper or by raising your hand or speaking in a meeting :"
wage,b2,Minimum wage.,"a particular amount of money that is paid , usually every week , to an employee , especially one who does work that needs physical skills or strength , rather than a job needing a college education :"
wait,a2,He waits. | Wait.,"to allow time to go by, especially while staying in one place without doing very much, until someone comes, until something that you are expecting happens or until you can do something:"
waiter,a1,Waiter!,a man whose job is to bring the food to customers at their tables in a restaurant
walk,a1,She walks softly but she carries a big gun | Walk.,"to move along by putting one foot in front of the other, allowing each foot to touch the ground before lifting the next:"
wall,a1,The walls have ears. | Against the wall.,"a vertical structure , often made of stone or brick , that divides or surrounds something:"
war,a2,"War! | I have fought many wars, Master Dwarf.","armed fighting between two or more countries or groups , or a particular example of this:"
